ds,yhat,yhat_lower,yhat_upper
2014-12-11,13300.751925372402,12138.749695693952,14467.016854798472
2014-12-12,13110.464565954439,11875.79052370878,14336.718273547427
2014-12-13,11971.233256675938,10730.584724991217,13183.837656125901
2014-12-14,11831.052209619234,10662.0721297483,13111.563836612053
2014-12-15,13438.188171232872,12146.17721883996,14652.37178506032
2014-12-16,13593.425552226356,12379.106134030528,14801.872074826182
2014-12-17,13544.899602187348,12306.459073536973,14621.897828813064
2014-12-18,13350.08776340373,12166.721285084255,14552.626554960132
2014-12-19,13146.523285589792,11961.290915743715,14378.129394450834
2014-12-20,11995.997490258698,10740.873393584743,13196.857569707081
2014-12-21,11846.70903069526,10636.459508898975,12993.84574135277
2014-12-22,13447.077127062836,12229.75000286855,14613.559938709672
2014-12-23,13597.984544384442,12420.037153519637,14761.611372603233
2014-12-24,13547.610044183679,12322.306418128548,14726.048559413786
2014-12-25,13353.42041879926,12177.27656479288,14537.425183839203
2014-12-26,13152.886126769206,11938.15151802446,14313.538453264462
2014-12-27,12007.686819899656,10868.890342293336,13088.310776278753
2014-12-28,11865.864978843672,10649.79388229517,13016.213876108663
2014-12-29,13475.644481153788,12240.090464083793,14628.639713946808
2014-12-30,13637.679692997317,12515.834680697564,14839.348215437498
2014-12-31,13599.894623291895,12444.703798514656,14796.39720118653
2015-01-01,13419.482047911413,12303.039072794256,14645.132935022591
2015-01-02,13233.626417700378,12079.860294270338,14420.998868543436
2015-01-03,12103.716638904483,10851.586550947639,13341.672045439433
2015-01-04,11977.506749241102,10824.822097915441,13206.571011612297
2015-01-05,13602.941133635553,12439.329690340852,14804.768058528782
2015-01-06,13780.409709164198,12620.706005924263,14932.126323501292
2015-01-07,13757.592478654655,12619.004045474547,14910.975557537919
2015-01-08,13591.46324678834,12388.331822442506,14834.335115257707
2015-01-09,13419.016226355223,12228.820852913228,14547.337317846112
2015-01-10,12301.481566372953,11041.984310605661,13484.27353026899
2015-01-11,12186.487798008948,11021.060518929473,13391.908125705897
2015-01-12,13821.887844118553,12626.974741475356,15099.454609774455
2015-01-13,14008.014051675596,12812.258444910254,15278.732560096221
2015-01-14,13992.521701764479,12790.526856162334,15170.217447131768
2015-01-15,13832.3908693148,12726.50040762575,15059.3983828877
2015-01-16,13664.650457790747,12449.398760866025,14797.607464915116
2015-01-17,12550.590553916896,11290.465755897723,13760.045975388935
2015-01-18,12437.921222972402,11272.5586172619,13531.108499780532
2015-01-19,14074.594522349451,12835.015836866989,15268.568134867666
2015-01-20,14261.055326992115,13048.980527460422,15471.707741182541
2015-01-21,14245.080554369775,13036.53244477081,15319.78103768085
2015-01-22,14083.776788396211,12834.421775314882,15237.055599711744
2015-01-23,13914.300245653381,12744.803725154288,15146.603985855925
2015-01-24,12798.065334672554,11642.083033011399,14065.728961249855
2015-01-25,12682.900019575569,11505.420645290915,13926.855680004874
2015-01-26,14316.864839486516,13172.79178371276,15563.274183430207
2015-01-27,14500.501232904058,13313.219446957055,15753.879954576572
2015-01-28,14481.668791301401,13321.350495329054,15696.647918103252
2015-01-29,14317.541459113741,13100.285677979822,15604.810879190132
2015-01-30,14145.326623182355,12847.038070293002,15304.07529055557
2015-01-31,13026.473325118823,11833.819193254036,14175.797836204258
2015-02-01,12908.827775660076,11786.2719580521,14205.643650748314
2015-02-02,14540.452977268707,13286.59672836709,15656.845497007502
2015-02-03,14721.878048825363,13561.387908628229,15886.618072946772
2015-02-04,14700.936813751527,13499.298005198283,15991.641741672514
2015-02-05,14534.765601318275,13315.860769849302,15787.303564550584
2015-02-06,14360.524134950037,13123.297049304396,15635.848957874086
2015-02-07,13239.605672897877,12034.33079341198,14388.385196458168
2015-02-08,13119.794515711621,11860.925245651431,14229.004130805402
2015-02-09,14749.087628079376,13541.414449231466,15910.249750974963
2015-02-10,14927.94591760544,13659.695050318023,16241.42626910026
2015-02-11,14904.134689870767,13721.334089218757,16037.577809245893
2015-02-12,14734.723197143208,13519.51249670678,15953.991773069109
2015-02-13,14556.807132642776,13289.057131552081,15792.333963534373
2015-02-14,13431.720223793065,12206.169906014866,14628.902998373978
2015-02-15,13307.193036552044,12071.15888096645,14540.821473082715
2015-02-16,14931.175744324759,13754.3063233882,16121.277767441203
2015-02-17,15104.090417021622,13906.251015626389,16330.47474193036
2015-02-18,15073.672367625975,13786.108826578453,16268.852354944021
2015-02-19,14896.970494851064,13702.120251760707,16185.22462455972
2015-02-20,14711.07049595713,13475.145596999844,15962.793612844433
2015-02-21,13577.307124170402,12390.645895067235,14785.689725138542
2015-02-22,13443.42362047446,12187.678782875064,14647.690567749576
2015-02-23,15057.395085826385,13838.596433727982,16286.967650878156
2015-02-24,15219.681355101535,14041.049608275913,16515.221225796104
2015-02-25,15178.068907707006,13873.308903164727,16455.83685750658
2015-02-26,14989.671742193974,13816.95611193472,16173.481022161786
2015-02-27,14791.655068349784,13605.96561354173,15998.789503134072
2015-02-28,13645.447961519343,12506.784588718845,14890.35883102413
2015-03-01,13498.903070842473,12283.185195304473,14658.601099918358
2015-03-02,15100.120102200788,13865.770254325033,16334.110647560128
2015-03-03,15249.69858639762,14072.514075762205,16379.132302526885
2015-03-04,15195.579413559659,13966.607683799033,16289.139860260158
2015-03-05,14995.045006265032,13728.055284013431,16243.153091334363
2015-03-06,14785.441932196309,13574.042753049298,16077.411831611655
2015-03-07,13628.392053415895,12432.79070107662,14836.323007547931
2015-03-08,13471.950264418956,12290.31392204977,14703.693781403277
2015-03-09,15064.425511361836,13922.775985167704,16250.52645581876
2015-03-10,15206.630588389367,13971.955398096781,16440.68232460032
2015-03-11,15146.720193956984,13906.465582552742,16426.70440240587
2015-03-12,14942.187139863821,13744.2619454055,16120.622883528926
2015-03-13,14730.580553953416,13532.979715650672,15907.613301856925
2015-03-14,13573.712234477673,12268.125227303191,14832.995997596541
2015-03-15,13419.809290017938,12212.065348303722,14706.505282303473
2015-03-16,15017.32985939365,13789.021709167779,16198.713035250314
2015-03-17,15167.207528276076,13913.999203905158,16387.368378157305
2015-03-18,15117.684062762522,13895.161490623066,16371.285771884044
2015-03-19,14926.300503590475,13653.518843829032,16187.771976504486
2015-03-20,14730.610622729582,13534.004997251664,15999.340747445562
2015-03-21,13592.383066662886,12451.683749586166,14761.378987220049
2015-03-22,13459.75048724739,12244.990310767884,14635.266022724052
2015-03-23,15081.022616918195,13845.010569982176,16448.5188616639
2015-03-24,15256.929057346473,14005.142205053333,16506.590146496772
2015-03-25,15235.451538427871,13923.537067142199,16519.35997351755
2015-03-26,15073.815807043366,13773.13406890007,16315.300241319954
2015-03-27,14909.207236769165,13689.133845414814,16147.50931295184
2015-03-28,13802.976541557811,12530.335194720343,14956.026556192977
2015-03-29,13702.793918102254,12355.910697672245,14962.864311875848
2015-03-30,15356.468559496261,14095.563976358126,16662.032753361345
2015-03-31,15564.199254843259,14411.861161219957,16818.14901558533
2015-04-01,15573.41573594688,14389.067045409429,16858.474555943245
2015-04-02,15440.780793281236,14220.735149045142,16651.28594895588
2015-04-03,15302.917075195195,14117.870307343956,16549.450931992564
2015-04-04,14220.624738464445,12934.445143851497,15500.810520764468
2015-04-05,14141.048026252633,12936.981021409229,15379.875221422099
2015-04-06,15811.507438449862,14623.86743951158,17045.607648808906
2015-04-07,16031.76290866078,14763.355039472635,17327.274577727505
2015-04-08,16048.867332734357,14733.131295714298,17295.440285411467
2015-04-09,15919.180146776349,14635.823414110391,17110.970064394543
2015-04-10,15779.104544887177,14511.854751587201,16988.07425181683
2015-04-11,14689.314190238916,13482.17457358875,15967.178031596632
2015-04-12,14596.927199469712,13323.408403811807,15806.752188024417
2015-04-13,16249.343796406467,14974.345476386898,17452.60223601237
2015-04-14,16446.512816362072,15246.216578241743,17634.946616354413
2015-04-15,16435.78621647106,15151.071914608581,17549.822976823107
2015-04-16,16273.931151531011,15074.820934377598,17476.617448309975
2015-04-17,16097.863123855734,14792.150362056864,17255.373542731988
2015-04-18,14968.866040614663,13646.50135077376,16165.83480371743
2015-04-19,14834.75700304911,13525.403782498075,16099.196775663815
2015-04-20,16443.71233442481,15168.871424862627,17760.025941377127
2015-04-21,16596.520204719345,15280.691313457417,17919.20892889228
2015-04-22,16541.419248398037,15328.950932773145,17778.50665352867
2015-04-23,16336.09303604406,14983.4027822429,17643.308974706477
